Epoch,loss_batch16,val_loss_batch16,loss_batch32,val_loss_batch32,loss_batch64,val_loss_batch64
1,0.0556,0.0588,0.004,0.1666,0.0034,0.2035
2,0.0156,0.0846,0.0039,0.1748,0.0039,0.2242
3,0.0116,0.1332,0.0038,0.176,0.004,0.2059
4,0.0118,0.12,0.0037,0.2006,0.0037,0.1992
5,0.0095,0.09,0.0044,0.2054,0.0041,0.2177
6,0.0116,0.0725,0.0043,0.2102,0.0034,0.2094
7,0.0092,0.1499,0.0034,0.2033,0.0034,0.2264
8,0.0089,0.0915,0.0041,0.2226,0.0038,0.2206
9,0.007,0.1747,0.0036,0.2526,0.0035,0.2462
10,0.0071,0.173,0.0038,0.1959,0.0037,0.2292
11,0.007,0.1648,0.0045,0.2034,0.0039,0.1983
12,0.0079,0.1875,0.0036,0.2252,0.0034,0.2464
13,0.0084,0.1995,0.0041,0.2342,0.0035,0.2559
14,0.0068,0.3756,0.0042,0.1922,0.0033,0.2508
15,0.0056,0.1719,0.0041,0.2226,0.0037,0.2377
16,0.0085,0.2346,0.004,0.2482,0.0033,0.2017
17,0.0069,0.3399,0.0039,0.2111,0.0032,0.2004
18,0.0058,0.4128,0.0038,0.2877,0.0033,0.231
19,0.0066,0.3078,0.0041,0.2066,0.0031,0.2258
20,0.0058,0.3026,0.0043,0.2408,0.0037,0.2402
